id,wallet_address,rating,comment,page,created_at
16,GDP63TICX7ZX3IPXYEL4ZVGAGK7NTXW3IZANOMCIUE2SJBTMZSKRCJGT,5,fully functional website,/circle,2026-08-20 20:43:01.827+00
15,GDY53TC5D6CZ72IR2HWG3C5QLQ7YOBTUBSJKKZ43URKDGDANECZLDS4W,5,I would like a clearer success notification after some blockchain transactions finish.,/circle,2026-08-20 20:42:45.247+00
14,GBGHHIRBUNSHSFQ67DW5VMC6JGRECPSSIER25LO3X3CBMNBHJSBNUUIL,5,great peoject,/circle,2026-08-20 20:42:27.588+00
13,GBFKSHPH42DTPAD2USXKJ7BQAHL3XUQ75DKIJXCR7RY35LGFEGZP5C6N,5,useful and fully working website. great,/circle,2026-08-20 20:09:38.39+00
12,GAKH2QXR6TUERN6JHRXGT6AW625X4PESSFWPON5CRQ6A2UFPRDMAAZ2F,5,very useful project.,/circle,2026-08-20 20:09:02.808+00
11,GBJ5U4GX3ILNQMKAY27NNCYDDLNPWOQC7SFACQ4SGVFB5WQVYNAGBE5I,5,great project and really useful,/circle,2026-08-20 20:08:34.092+00
10,GDDUCJ53FTMAMEJXRRG2UDCP4KWFS3RNTXNA6MTYWOKRRH4TDFPAHLII,4,looks nice,/circle,2026-08-20 18:58:13.408+00
9,GCK62TJLXLBONAYYNQW5NDBENST32DBHUN3CJTKBJSB3EIE5WAQHXPPJ,5,"The circle creation process was easy to understand, and the payout order was clear.",/circle,2026-08-20 18:48:05.268+00
8,GCK62TJLXLBONAYYNQW5NDBENST32DBHUN3CJTKBJSB3EIE5WAQHXPPJ,5,The app works well on mobile, but some wallet addresses are still long and visually crowded.,/circle,2026-08-20 18:47:35.689+00
7,GAMX7AYLKU7XOJ6NBCWTSY3W5OSSOBS332M55UG2J5TH5NPCAY545QCM,5,this is really very good site...excellent work,/circle,2026-08-20 15:00:57.268+00
2,GCC2KQ7VC6AJIOONLP4QGYQAEPDMXUDLNVI5HNPE3XOO25CTWJ5RDPL5,5,I liked that missed payments and debt were shown clearly instead of hiding the issue.,/circle,2026-08-16 07:57:40.392+00
1,GAMX7AYLKU7XOJ6NBCWTSY3W5OSSOBS332M55UG2J5TH5NPCAY545QCM,5,The invite-link flow is useful because I can send the same circle directly to other members.,/circle,2026-08-16 07:44:49.906+00
